"","Year","County","Per Capita Cost"
"1",2007,"Anderson",10750.36
"2",2007,"Andrews",10365.06
"3",2007,"Angelina",10695.55
"4",2007,"Aransas",9321.86
"5",2007,"Archer",11752.39
"6",2007,"Armstrong",8625
"7",2007,"Atascosa",10521.43
"8",2007,"Austin",10255.93
"9",2007,"Bailey",11328.89
"10",2007,"Bandera",8404.27
"11",2007,"Bastrop",10331.24
"12",2007,"Baylor",12531.98
"13",2007,"Bee",13155.79
"14",2007,"Bell",9687.13
"15",2007,"Bexar",9954.28
"16",2007,"Blanco",8892.31
"17",2007,"Borden",9047
"18",2007,"Bosque",8173.43
"19",2007,"Bowie",10791.44
"20",2007,"Brazoria",12178.56
"21",2007,"Brazos",10500.38
"22",2007,"Brewster",6536.67
"23",2007,"Briscoe",10949.63
"24",2007,"Brooks",13747.96
"25",2007,"Brown",10451.11
"26",2007,"Burleson",10821.31
"27",2007,"Burnet",9897.7
"28",2007,"Caldwell",11921.86
"29",2007,"Calhoun",11328.58
"30",2007,"Callahan",10260.95
"31",2007,"Cameron",11822.73
"32",2007,"Camp",10481.28
"33",2007,"Carson",9616.72
"34",2007,"Cass",10861.48
"35",2007,"Castro",11491.72
"36",2007,"Chambers",12678.88
"37",2007,"Cherokee",11046.55
"38",2007,"Childress",9873.59
"39",2007,"Clay",11882.81
"40",2007,"Cochran",9724.7
"41",2007,"Coke",9548.68
"42",2007,"Coleman",10202
"43",2007,"Collin",10937.07
"44",2007,"Collingsworth",14841.25
"45",2007,"Colorado",11965.12
"46",2007,"Comal",9306.85
"47",2007,"Comanche",9843.87
"48",2007,"Concho",11883.08
"49",2007,"Cooke",10917.2
"50",2007,"Coryell",9692.45
"51",2007,"Cottle",11461.11
"52",2007,"Crane",13239.27
"53",2007,"Crockett",10418.97
"54",2007,"Crosby",11587.01
"55",2007,"Culberson",13331.9
"56",2007,"Dallam",9705.45
"57",2007,"Dallas",12273.98
"58",2007,"Dawson",10827.35
"59",2007,"DeWitt",10966.02
"60",2007,"Deaf Smith",9323.99
"61",2007,"Delta",10615.71
"62",2007,"Denton",10811.43
"63",2007,"Dickens",11998.51
"64",2007,"Dimmit",12613.28
"65",2007,"Donley",10647
"66",2007,"Duval",14394.05
"67",2007,"Eastland",11044.7
"68",2007,"Ector",10184.51
"69",2007,"Edwards",7301.15
"70",2007,"El Paso",9694.14
"71",2007,"Ellis",10804.65
"72",2007,"Erath",9483.53
"73",2007,"Falls",10916.76
"74",2007,"Fannin",12340.03
"75",2007,"Fayette",10390.58
"76",2007,"Fisher",10236.94
"77",2007,"Floyd",11580.18
"78",2007,"Foard",15111.44
"79",2007,"Fort Bend",11421.73
"80",2007,"Franklin",10035.13
"81",2007,"Freestone",10204.99
"82",2007,"Frio",11049.09
"83",2007,"Gaines",11233.45
"84",2007,"Galveston",13543.86
"85",2007,"Garza",10778.31
"86",2007,"Gillespie",8323.57
"87",2007,"Glasscock",10646.38
"88",2007,"Goliad",11085.98
"89",2007,"Gonzales",10517.28
"90",2007,"Gray",10956.11
"91",2007,"Grayson",12171.39
"92",2007,"Gregg",10857.79
"93",2007,"Grimes",10810.67
"94",2007,"Guadalupe",9799.45
"95",2007,"Hale",10911.26
"96",2007,"Hall",9197.65
"97",2007,"Hamilton",8928.32
"98",2007,"Hansford",10588.11
"99",2007,"Hardeman",11944.31
"100",2007,"Hardin",10940.92
"101",2007,"Harris",12690.02
"102",2007,"Harrison",10043.17
"103",2007,"Hartley",13957.95
"104",2007,"Haskell",11471.51
"105",2007,"Hays",10106.15
"106",2007,"Hemphill",7100.35
"107",2007,"Henderson",10473.94
"108",2007,"Hidalgo",12198.14
"109",2007,"Hill",9772.17
"110",2007,"Hockley",10890.66
"111",2007,"Hood",10306.48
"112",2007,"Hopkins",11248.04
"113",2007,"Houston",10362.94
"114",2007,"Howard",10467.25
"115",2007,"Hudspeth",7308.53
"116",2007,"Hunt",12286.87
"117",2007,"Hutchinson",10122.15
"118",2007,"Irion",9001.8
"119",2007,"Jack",10617.32
"120",2007,"Jackson",12717.8
"121",2007,"Jasper",11105.59
"122",2007,"Jeff Davis",6592.39
"123",2007,"Jefferson",11895.74
"124",2007,"Jim Hogg",15626.04
"125",2007,"Jim Wells",13858.89
"126",2007,"Johnson",11302.66
"127",2007,"Jones",10878.06
"128",2007,"Karnes",12403.29
"129",2007,"Kaufman",11471.2
"130",2007,"Kendall",8880.11
"131",2007,"Kenedy",17960.55
"132",2007,"Kent",11767.69
"133",2007,"Kerr",8963.19
"134",2007,"Kimble",10987.77
"135",2007,"King",13118.59
"136",2007,"Kinney",8771.89
"137",2007,"Kleberg",12390.3
"138",2007,"Knox",11993.77
"139",2007,"La Salle",10352.01
"140",2007,"Lamar",10991
"141",2007,"Lamb",9089.78
"142",2007,"Lampasas",12856.87
"143",2007,"Lavaca",12121.48
"144",2007,"Lee",11359.67
"145",2007,"Leon",9780.88
"146",2007,"Liberty",13625.66
"147",2007,"Limestone",10824.06
"148",2007,"Lipscomb",8970.76
"149",2007,"Live Oak",10509.61
"150",2007,"Llano",9967.39
"151",2007,"Loving",8035.79
"152",2007,"Lubbock",11087.51
"153",2007,"Lynn",14668.67
"154",2007,"Madison",11916.12
"155",2007,"Marion",10916.6
"156",2007,"Martin",13097.68
"157",2007,"Mason",7998
"158",2007,"Matagorda",12234.74
"159",2007,"Maverick",12457.33
"160",2007,"McCulloch",10841.11
"161",2007,"McLennan",9799.74
"162",2007,"McMullen",10167.67
"163",2007,"Medina",9884.07
"164",2007,"Menard",9624.13
"165",2007,"Midland",9190.77
"166",2007,"Milam",11279.55
"167",2007,"Mills",9025.35
"168",2007,"Mitchell",12563.77
"169",2007,"Montague",10810.17
"170",2007,"Montgomery",11431.41
"171",2007,"Moore",10128.91
"172",2007,"Morris",11267.44
"173",2007,"Motley",10318.25
"174",2007,"Nacogdoches",11055.54
"175",2007,"Navarro",11084.82
"176",2007,"Newton",11689.08
"177",2007,"Nolan",10579.63
"178",2007,"Nueces",11227.88
"179",2007,"Ochiltree",9423.99
"180",2007,"Oldham",7477.1
"181",2007,"Orange",11550.79
"182",2007,"Palo Pinto",11226.01
"183",2007,"Panola",11267.04
"184",2007,"Parker",11511.68
"185",2007,"Parmer",10003.26
"186",2007,"Pecos",9999.7
"187",2007,"Polk",9414
"188",2007,"Potter",10242.92
"189",2007,"Presidio",7409.78
"190",2007,"Rains",11096.09
"191",2007,"Randall",9333.9
"192",2007,"Reagan",14574.95
"193",2007,"Real",10025.61
"194",2007,"Red River",10634.53
"195",2007,"Reeves",9615.53
"196",2007,"Refugio",14110.64
"197",2007,"Roberts",8881.53
"198",2007,"Robertson",11417.08
"199",2007,"Rockwall",11147.34
"200",2007,"Runnels",11153.31
"201",2007,"Rusk",11167.92
"202",2007,"Sabine",9818.55
"203",2007,"San Augustine",10722.97
"204",2007,"San Jacinto",12530.47
"205",2007,"San Patricio",11566.95
"206",2007,"San Saba",10693.35
"207",2007,"Schleicher",11391.63
"208",2007,"Scurry",10484.53
"209",2007,"Shackelford",11521
"210",2007,"Shelby",10132.2
"211",2007,"Sherman",10098.3
"212",2007,"Smith",10741.89
"213",2007,"Somervell",10639.24
"214",2007,"Starr",12691.98
"215",2007,"Stephens",11219.8
"216",2007,"Sterling",10130.34
"217",2007,"Stonewall",13374.29
"218",2007,"Sutton",9959.38
"219",2007,"Swisher",11406
"220",2007,"Tarrant",11846.44
"221",2007,"Taylor",11102.55
"222",2007,"Terrell",5704.64
"223",2007,"Terry",11648.85
"224",2007,"Throckmorton",14898.1
"225",2007,"Titus",11016.74
"226",2007,"Tom Green",10170.13
"227",2007,"Travis",10337.58
"228",2007,"Trinity",10766.8
"229",2007,"Tyler",10947.54
"230",2007,"Upshur",10484.65
"231",2007,"Upton",16885.27
"232",2007,"Uvalde",10586.22
"233",2007,"Val Verde",9935.53
"234",2007,"Van Zandt",10657.99
"235",2007,"Victoria",11899.03
"236",2007,"Walker",11851.84
"237",2007,"Waller",11979.5
"238",2007,"Ward",10013.14
"239",2007,"Washington",9916.79
"240",2007,"Webb",11663.49
"241",2007,"Wharton",12773.68
"242",2007,"Wheeler",15088.59
"243",2007,"Wichita",12164.35
"244",2007,"Wilbarger",12715.77
"245",2007,"Willacy",12497.73
"246",2007,"Williamson",10040.91
"247",2007,"Wilson",9420.91
"248",2007,"Winkler",11825.57
"249",2007,"Wise",12538.51
"250",2007,"Wood",9901.54
"251",2007,"Yoakum",11216.32
"252",2007,"Young",12251.46
"253",2007,"Zapata",11891.87
"254",2007,"Zavala",12809.46
"255",2008,"Anderson",8673.25
"256",2008,"Andrews",8427.22
"257",2008,"Angelina",9562.1
"258",2008,"Aransas",8783
"259",2008,"Archer",8401.34
"260",2008,"Armstrong",8396.7
"261",2008,"Atascosa",9684.33
"262",2008,"Austin",7662.26
"263",2008,"Bailey",8124.52
"264",2008,"Bandera",7740.99
"265",2008,"Bastrop",8826.5
"266",2008,"Baylor",8981.16
"267",2008,"Bee",10018.56
"268",2008,"Bell",7301.51
"269",2008,"Bexar",9508.56
"270",2008,"Blanco",7057.05
"271",2008,"Borden",7279.67
"272",2008,"Bosque",7270.82
"273",2008,"Bowie",9087.55
"274",2008,"Brazoria",9916.26
"275",2008,"Brazos",8555.26
"276",2008,"Brewster",6528.87
"277",2008,"Briscoe",7688.73
"278",2008,"Brooks",11581.12
"279",2008,"Brown",8415.9
"280",2008,"Burleson",7779.79
"281",2008,"Burnet",8059.5
"282",2008,"Caldwell",9276.63
"283",2008,"Calhoun",8643.18
"284",2008,"Callahan",7917.43
"285",2008,"Cameron",11856.32
"286",2008,"Camp",9166.97
"287",2008,"Carson",8541.89
"288",2008,"Cass",8928.26
"289",2008,"Castro",10132.37
"290",2008,"Chambers",10668.5
"291",2008,"Cherokee",9629.49
"292",2008,"Childress",7613.15
"293",2008,"Clay",9039.17
"294",2008,"Cochran",10485.37
"295",2008,"Coke",7879.21
"296",2008,"Coleman",7746.94
"297",2008,"Collin",9609.2
"298",2008,"Collingsworth",10787.13
"299",2008,"Colorado",9811.36
"300",2008,"Comal",8214.56
"301",2008,"Comanche",7845.75
"302",2008,"Concho",8972.83
"303",2008,"Cooke",9657.9
"304",2008,"Coryell",6936.88
"305",2008,"Cottle",8032.45
"306",2008,"Crane",9922.23
"307",2008,"Crockett",7856.75
"308",2008,"Crosby",11055.77
"309",2008,"Culberson",10514.92
"310",2008,"Dallam",9182.9
"311",2008,"Dallas",11247.31
"312",2008,"Dawson",10681.49
"313",2008,"DeWitt",9531.51
"314",2008,"Deaf Smith",8061.88
"315",2008,"Delta",9053.74
"316",2008,"Denton",9944.49
"317",2008,"Dickens",10391.36
"318",2008,"Dimmit",10509.95
"319",2008,"Donley",8691.99
"320",2008,"Duval",13772.96
"321",2008,"Eastland",8657.78
"322",2008,"Ector",9289.1
"323",2008,"Edwards",6192.26
"324",2008,"El Paso",8414.97
"325",2008,"Ellis",9773.44
"326",2008,"Erath",7187.09
"327",2008,"Falls",9348.35
"328",2008,"Fannin",9658.26
"329",2008,"Fayette",8057.47
"330",2008,"Fisher",8084.03
"331",2008,"Floyd",9591.54
"332",2008,"Foard",7261.97
"333",2008,"Fort Bend",10379.53
"334",2008,"Franklin",8984.19
"335",2008,"Freestone",7796.57
"336",2008,"Frio",9729.91
"337",2008,"Gaines",9082.05
"338",2008,"Galveston",10629.82
"339",2008,"Garza",10595.81
"340",2008,"Gillespie",6522.59
"341",2008,"Glasscock",7412.08
"342",2008,"Goliad",9141.88
"343",2008,"Gonzales",8588.45
"344",2008,"Gray",9499.22
"345",2008,"Grayson",9613.12
"346",2008,"Gregg",9301.12
"347",2008,"Grimes",9040.78
"348",2008,"Guadalupe",8681.66
"349",2008,"Hale",8544.27
"350",2008,"Hall",8770.44
"351",2008,"Hamilton",8937.21
"352",2008,"Hansford",8642.13
"353",2008,"Hardeman",10790.06
"354",2008,"Hardin",9423.57
"355",2008,"Harris",11693.35
"356",2008,"Harrison",9141.07
"357",2008,"Hartley",9334.8
"358",2008,"Haskell",8559.84
"359",2008,"Hays",8524.7
"360",2008,"Hemphill",7172.04
"361",2008,"Henderson",9422.98
"362",2008,"Hidalgo",14525.91
"363",2008,"Hill",8378.51
"364",2008,"Hockley",9509.01
"365",2008,"Hood",7523.25
"366",2008,"Hopkins",8906.48
"367",2008,"Houston",8177.83
"368",2008,"Howard",8087.99
"369",2008,"Hudspeth",6186.49
"370",2008,"Hunt",10347.45
"371",2008,"Hutchinson",8883.93
"372",2008,"Irion",6094.49
"373",2008,"Jack",10828.11
"374",2008,"Jackson",9872.98
"375",2008,"Jasper",9700.48
"376",2008,"Jeff Davis",5276.8
"377",2008,"Jefferson",10167.79
"378",2008,"Jim Hogg",13307.86
"379",2008,"Jim Wells",12695.54
"380",2008,"Johnson",9895.22
"381",2008,"Jones",8536.14
"382",2008,"Karnes",8772.59
"383",2008,"Kaufman",10303
"384",2008,"Kendall",7761.79
"385",2008,"Kenedy",11722.13
"386",2008,"Kent",7021.88
"387",2008,"Kerr",7068.27
"388",2008,"Kimble",6769.79
"389",2008,"King",7418.05
"390",2008,"Kinney",7231.09
"391",2008,"Kleberg",10039.6
"392",2008,"Knox",8448.67
"393",2008,"La Salle",9312.74
"394",2008,"Lamar",9888.99
"395",2008,"Lamb",8893.52
"396",2008,"Lampasas",8334.15
"397",2008,"Lavaca",8754.06
"398",2008,"Lee",9107.12
"399",2008,"Leon",7744.67
"400",2008,"Liberty",11858.22
"401",2008,"Limestone",8580.39
"402",2008,"Lipscomb",6731.04
"403",2008,"Live Oak",9039.2
"404",2008,"Llano",7495.64
"405",2008,"Loving",21231.95
"406",2008,"Lubbock",10468.74
"407",2008,"Lynn",10579.95
"408",2008,"Madison",9079.25
"409",2008,"Marion",9248.88
"410",2008,"Martin",9942.79
"411",2008,"Mason",7636.53
"412",2008,"Matagorda",10400.13
"413",2008,"Maverick",11289.18
"414",2008,"McCulloch",7889.64
"415",2008,"McLennan",7799.47
"416",2008,"McMullen",6613.97
"417",2008,"Medina",9049.54
"418",2008,"Menard",7277.32
"419",2008,"Midland",7842.42
"420",2008,"Milam",9923.69
"421",2008,"Mills",6439.75
"422",2008,"Mitchell",8195.01
"423",2008,"Montague",8655.95
"424",2008,"Montgomery",10238.24
"425",2008,"Moore",8622.61
"426",2008,"Morris",8382.63
"427",2008,"Motley",8754.42
"428",2008,"Nacogdoches",9437.77
"429",2008,"Navarro",9081.83
"430",2008,"Newton",9572.72
"431",2008,"Nolan",8757.1
"432",2008,"Nueces",10313.09
"433",2008,"Ochiltree",8637.26
"434",2008,"Oldham",6972.48
"435",2008,"Orange",9506.02
"436",2008,"Palo Pinto",8916.28
"437",2008,"Panola",9806.76
"438",2008,"Parker",9045.69
"439",2008,"Parmer",8705.79
"440",2008,"Pecos",7883.89
"441",2008,"Polk",8121.52
"442",2008,"Potter",9317.4
"443",2008,"Presidio",6789.85
"444",2008,"Rains",8826.9
"445",2008,"Randall",8396.91
"446",2008,"Reagan",8831.41
"447",2008,"Real",6720.5
"448",2008,"Red River",11013.25
"449",2008,"Reeves",8507.72
"450",2008,"Refugio",10047.05
"451",2008,"Roberts",9698.95
"452",2008,"Robertson",9118.33
"453",2008,"Rockwall",9438.23
"454",2008,"Runnels",8891.05
"455",2008,"Rusk",10148.37
"456",2008,"Sabine",8971.31
"457",2008,"San Augustine",10506.48
"458",2008,"San Jacinto",10820.16
"459",2008,"San Patricio",10311.58
"460",2008,"San Saba",6928.86
"461",2008,"Schleicher",13397.41
"462",2008,"Scurry",8520.31
"463",2008,"Shackelford",8305.49
"464",2008,"Shelby",10232.1
"465",2008,"Sherman",7037.78
"466",2008,"Smith",9687.61
"467",2008,"Somervell",8590.36
"468",2008,"Starr",14868.41
"469",2008,"Stephens",9151.38
"470",2008,"Sterling",8404.36
"471",2008,"Stonewall",9800.5
"472",2008,"Sutton",8946.27
"473",2008,"Swisher",8791.61
"474",2008,"Tarrant",10384.27
"475",2008,"Taylor",8144.71
"476",2008,"Terrell",5939.44
"477",2008,"Terry",9756.09
"478",2008,"Throckmorton",9867.76
"479",2008,"Titus",10538.51
"480",2008,"Tom Green",8068.95
"481",2008,"Travis",9021.21
"482",2008,"Trinity",10018.92
"483",2008,"Tyler",9363.52
"484",2008,"Upshur",9338.31
"485",2008,"Upton",10449.19
"486",2008,"Uvalde",8092.37
"487",2008,"Val Verde",7734.54
"488",2008,"Van Zandt",8814.94
"489",2008,"Victoria",9140.09
"490",2008,"Walker",10142.23
"491",2008,"Waller",10236.34
"492",2008,"Ward",8417.55
"493",2008,"Washington",7037.64
"494",2008,"Webb",11310.89
"495",2008,"Wharton",10503.14
"496",2008,"Wheeler",10259.04
"497",2008,"Wichita",8732.81
"498",2008,"Wilbarger",8495.41
"499",2008,"Willacy",12673.78
"500",2008,"Williamson",7977.25
"501",2008,"Wilson",8433.42
"502",2008,"Winkler",8150.15
"503",2008,"Wise",9583.72
"504",2008,"Wood",8691.23
"505",2008,"Yoakum",8761.79
"506",2008,"Young",10377.31
"507",2008,"Zapata",13086.99
"508",2008,"Zavala",10376.85
"509",2009,"Anderson",9043.63
"510",2009,"Andrews",8607.08
"511",2009,"Angelina",9936.55
"512",2009,"Aransas",8874.91
"513",2009,"Archer",8813.74
"514",2009,"Armstrong",8118.35
"515",2009,"Atascosa",9788.2
"516",2009,"Austin",8431.39
"517",2009,"Bailey",8741.16
"518",2009,"Bandera",7398.7
"519",2009,"Bastrop",9452.87
"520",2009,"Baylor",9321.84
"521",2009,"Bee",10513.53
"522",2009,"Bell",8075.43
"523",2009,"Bexar",10175.88
"524",2009,"Blanco",6831.93
"525",2009,"Borden",7235.05
"526",2009,"Bosque",7846.28
"527",2009,"Bowie",9370.97
"528",2009,"Brazoria",10642.08
"529",2009,"Brazos",9427.77
"530",2009,"Brewster",7210.6
"531",2009,"Briscoe",9256.88
"532",2009,"Brooks",12293.14
"533",2009,"Brown",9075.02
"534",2009,"Burleson",8703.94
"535",2009,"Burnet",8341.54
"536",2009,"Caldwell",10080.96
"537",2009,"Calhoun",9366.65
"538",2009,"Callahan",7932.47
"539",2009,"Cameron",12805.88
"540",2009,"Camp",9526.29
"541",2009,"Carson",8621.05
"542",2009,"Cass",9032.49
"543",2009,"Castro",9222.54
"544",2009,"Chambers",11189.05
"545",2009,"Cherokee",9887.15
"546",2009,"Childress",8255.24
"547",2009,"Clay",9443.49
"548",2009,"Cochran",10782.59
"549",2009,"Coke",7470.16
"550",2009,"Coleman",8130.49
"551",2009,"Collin",10306.1
"552",2009,"Collingsworth",13502.88
"553",2009,"Colorado",10516
"554",2009,"Comal",8774.14
"555",2009,"Comanche",8545.88
"556",2009,"Concho",8867.27
"557",2009,"Cooke",9971.52
"558",2009,"Coryell",7680.24
"559",2009,"Cottle",7921.85
"560",2009,"Crane",11815.59
"561",2009,"Crockett",7801.6
"562",2009,"Crosby",11154.65
"563",2009,"Culberson",11142.15
"564",2009,"Dallam",8333.81
"565",2009,"Dallas",12206.52
"566",2009,"Dawson",10373.42
"567",2009,"DeWitt",9186.5
"568",2009,"Deaf Smith",8701.96
"569",2009,"Delta",10138.33
"570",2009,"Denton",10470.03
"571",2009,"Dickens",10567.55
"572",2009,"Dimmit",11735.76
"573",2009,"Donley",9337.66
"574",2009,"Duval",14012.12
"575",2009,"Eastland",8922.13
"576",2009,"Ector",9728.17
"577",2009,"Edwards",7066.81
"578",2009,"El Paso",9096.91
"579",2009,"Ellis",10312.53
"580",2009,"Erath",7573.69
"581",2009,"Falls",9743.7
"582",2009,"Fannin",9815.89
"583",2009,"Fayette",7968.53
"584",2009,"Fisher",9897.31
"585",2009,"Floyd",9203.87
"586",2009,"Foard",8335.93
"587",2009,"Fort Bend",10953.55
"588",2009,"Franklin",10075.76
"589",2009,"Freestone",8679.25
"590",2009,"Frio",10328.92
"591",2009,"Gaines",9308.42
"592",2009,"Galveston",11558.42
"593",2009,"Garza",10122.74
"594",2009,"Gillespie",7007.76
"595",2009,"Glasscock",6824.2
"596",2009,"Goliad",8837.53
"597",2009,"Gonzales",9482.71
"598",2009,"Gray",9621.73
"599",2009,"Grayson",9990.06
"600",2009,"Gregg",9972.4
"601",2009,"Grimes",9669.93
"602",2009,"Guadalupe",8989.72
"603",2009,"Hale",9306.6
"604",2009,"Hall",9895.7
"605",2009,"Hamilton",9239.58
"606",2009,"Hansford",8777.02
"607",2009,"Hardeman",10718.48
"608",2009,"Hardin",9910.81
"609",2009,"Harris",12685.27
"610",2009,"Harrison",9885.21
"611",2009,"Hartley",9856.55
"612",2009,"Haskell",9087.06
"613",2009,"Hays",9248.78
"614",2009,"Hemphill",8233.12
"615",2009,"Henderson",10197.4
"616",2009,"Hidalgo",14996.7
"617",2009,"Hill",8637.86
"618",2009,"Hockley",9745.02
"619",2009,"Hood",8207.3
"620",2009,"Hopkins",9688.24
"621",2009,"Houston",8831.96
"622",2009,"Howard",8881.39
"623",2009,"Hudspeth",7334.32
"624",2009,"Hunt",10712.1
"625",2009,"Hutchinson",9200.5
"626",2009,"Irion",6338.8
"627",2009,"Jack",11245.1
"628",2009,"Jackson",10193.67
"629",2009,"Jasper",9694.13
"630",2009,"Jeff Davis",5810.47
"631",2009,"Jefferson",10571.04
"632",2009,"Jim Hogg",15832.86
"633",2009,"Jim Wells",13720.37
"634",2009,"Johnson",10397.3
"635",2009,"Jones",8684.29
"636",2009,"Karnes",9662.88
"637",2009,"Kaufman",10894.53
"638",2009,"Kendall",8163.96
"639",2009,"Kenedy",4848.74
"640",2009,"Kent",9483.44
"641",2009,"Kerr",7412.74
"642",2009,"Kimble",8091.43
"643",2009,"King",5605.53
"644",2009,"Kinney",8016.03
"645",2009,"Kleberg",11036.66
"646",2009,"Knox",9324.99
"647",2009,"La Salle",10138.17
"648",2009,"Lamar",10011.32
"649",2009,"Lamb",9794
"650",2009,"Lampasas",8948.28
"651",2009,"Lavaca",9253.48
"652",2009,"Lee",9735.97
"653",2009,"Leon",8452.31
"654",2009,"Liberty",12520.73
"655",2009,"Limestone",9237.59
"656",2009,"Lipscomb",7641.36
"657",2009,"Live Oak",9115.27
"658",2009,"Llano",7720.69
"659",2009,"Loving",4849
"660",2009,"Lubbock",10974.78
"661",2009,"Lynn",10920.67
"662",2009,"Madison",11097.34
"663",2009,"Marion",10431.01
"664",2009,"Martin",8859.19
"665",2009,"Mason",8133.98
"666",2009,"Matagorda",10475.95
"667",2009,"Maverick",11594.88
"668",2009,"McCulloch",8681.73
"669",2009,"McLennan",8408.12
"670",2009,"McMullen",8739.24
"671",2009,"Medina",9544.98
"672",2009,"Menard",8102.5
"673",2009,"Midland",8449.84
"674",2009,"Milam",10640.31
"675",2009,"Mills",7810.65
"676",2009,"Mitchell",9180.12
"677",2009,"Montague",8622.44
"678",2009,"Montgomery",10914.96
"679",2009,"Moore",8609.8
"680",2009,"Morris",9408.46
"681",2009,"Motley",8700.22
"682",2009,"Nacogdoches",10402.06
"683",2009,"Navarro",9706.49
"684",2009,"Newton",10197.89
"685",2009,"Nolan",9142.97
"686",2009,"Nueces",10886.34
"687",2009,"Ochiltree",8184.87
"688",2009,"Oldham",8334.39
"689",2009,"Orange",9859.61
"690",2009,"Palo Pinto",9760.41
"691",2009,"Panola",10159.96
"692",2009,"Parker",10026.45
"693",2009,"Parmer",8932.05
"694",2009,"Pecos",8195.78
"695",2009,"Polk",8578.43
"696",2009,"Potter",9439.2
"697",2009,"Presidio",5891.52
"698",2009,"Rains",8936.21
"699",2009,"Randall",8366.68
"700",2009,"Reagan",9732.39
"701",2009,"Real",7225.98
"702",2009,"Red River",11479.88
"703",2009,"Reeves",8468.41
"704",2009,"Refugio",9860.26
"705",2009,"Roberts",8110.88
"706",2009,"Robertson",10238.45
"707",2009,"Rockwall",9737.85
"708",2009,"Runnels",9767.48
"709",2009,"Rusk",10566.79
"710",2009,"Sabine",8433.39
"711",2009,"San Augustine",10028.52
"712",2009,"San Jacinto",11348.73
"713",2009,"San Patricio",10656.21
"714",2009,"San Saba",7392.35
"715",2009,"Schleicher",10633.28
"716",2009,"Scurry",9851.76
"717",2009,"Shackelford",9846.64
"718",2009,"Shelby",9996.55
